Esiliiga, 10th
Serie D, 10th
I-League, 8th of 13
Men: 2nd
Liga 2/1st round (Group C), 5th
NPSL National Runner Up
Central League, 8th of 10
Nigeria Professional Football League, 9th of 20
–
Jordanian Pro League, 10th of 12
Primera Nacional Zone B, 13th
CPD, 13th of 16
Eccellenza Molise, 3rd
U-19: Group D, 8th
'
Maltese First Division, 1st
-
relegated
Serie D/B, 15th
/
1
Yemeni 2nd Division, 1st
2
3
4
5
left
Eskişehir Super Amateur League, 2nd
6
MS League, 19th of 20
7
8
9
Slovenian Second League, 13th of 16
Liga 2 (Indonesia)
?
Paraense 2nd Division, 15th of 23
NB III, East, 12th
Primera Nacional Zone B, 6th
Football League, 16th
TFF Third League, Group 1, 16th
Iraq Division Three, 1st in Baghdad Group 2
Tercera División – Group 1, 18th
Second Division, 3rd
Paulistão A3, 4th of 16
Second Division Group B, 9th
Russian Professional Football League
Belgrade First League, 8th of 16
Thai League 1, 1st
Gwynedd League, 14th
Western Confederation Super League, 1st
Serie D/B, 7th
NAFL Division 1A, 1st
Eliteserien, 3rd of 16
Ligue 2, Group Centre-east, 12th
Ligas Departamentales del Peru
Group stage
División de Plata, 14th
Liga Națională, 10th
Playoffs: Did Not Qualify
Liga IV, Sibiu County, 1st
LNH Division 1, 10th of 16
Eliminated in District Stage
Primera Divisió, 3rd
Slovenian PrvaLiga, 1st of 10
Macedonian Super League,
National 3 Group L, 14th
Slovenian Second League, 7th of 16
Brasiliense, 2nd of 10
Tajikistan Higher League, 3rd of 10
Superleague, 7
Thai League 3, 13th of 14 in the Bangkok metropolitan region
Group B, 11th
Primera Autonómica, 5th of 6
Division 3 Nordvästra Götaland, 5th
Kakkonen Group C – 5th
Regular Season: 2nd, NASL
South Series, 3rd
Primera B, 7th of 16
Third Division / 8, 4th
Singapore Premier League, 5th of 8
Championship Group: 5th
Division 3 Södra Norrland, 8th
Premier League 11th of 13
First League of FBiH, 14th
Second League, 9th of 16
Hellenic Football League Division One East, 3rd
Regional Preferente, 14th
Belgian First Division A, 2nd
Campeonato Nacional de Rugby I Divisão, winners
Eccellenza Sicily Group B, 1st of 15
Nemzeti Bajnokság I, 14th
Play Offs; Quarter Final:
Liga I, 8th
Denmark Series Group 1, 3rd
Primera División, 8th of 16
°
Thai League 3, 3rd of 13 in the Northeastern region
Eastern Conference: 5th
Série D, 16th of 64
Spring: 4th
Eliminated in Departmental Stage
Linafoot, 7th of 20
Belgian Division 2, 5th of 16
Segunda División, 7th, ↑
National 3 Group M, 1st
South-West Third League, 16th
North Riding League Premier Division, 1st of 14
National 2 Group D, 15th
Superliga Femenina, 9th Place
Regular Season: 3rd,
NB III, East, 3rd
Serie D, 7th
Second stage
Liga III, Seria X, 2nd
Primeira Liga, 6th of 18
Second League RS - East, 3rd
Nemzeti Bajnokság I, 2nd of 14
Eccellenza Veneto/B, 1st
Essex Alliance League Senior Division, 1st of 13
Division One, 17th
Segunda División, 14th
North-Eastern V Group, 11th
Women: 4. divisjon Trøndelag avd. 4 , 5th
Botola 2, 1th
V.League 2, 10th of 12
FootballSouth Premier League, 8th of 10
Ukrainian Premier League, 3rd
UPSL Fall: 5th, Midwest East Division
La Liga, 20th of 20
Serie D/C, 13th
Eccellenza Piedmont and Aosta Valley/B, 3rd
FNL, 19th
Republican Freshman Leader
Chinese Super League, 5th of 16
Segunda División, 14th of 22
Mineiro, 8th
Gamma Ethniki , 11th relegated
Regional Preferente, 5th
Eccellenza, 6th
NB III, 8th of 20
Overall: 4th
Welsh Football League Division One, 8th
European Rugby Challenge Cup
Division 4 Göteborg B, 4th
UAE Pro League, 6th
Women: 9th
Iraq Division One, 27th of 28
NRFL Division 1, 5th of 12
Upper Carniolan League, 4th
QSL league , 7th of 8
United Counties Football League
CFA 2 Group D, 12th
Serbian League Belgrade, 20th of 20
National 2 Group D, 7th
League One, 8th of 18
Preferente, 4th
Denmark Series Group 4, 10th
Cariocão Série A, 3rd of 12
top
National 3 Group M, 9th
Série B, 13th of 20
Promozione group A, 16th
Serbian SuperLiga, 13th
Preferente Autonómica , 7th
Serie D/C, 9th
La Liga, 17th of 20
Liga 1, 10th of 18
Midland League Division One, 6th
Serie D/F, 17th
NRF Championship, 5th of 8
2.0
Belgian National Division 1, 14th of 15
League Two, 13th of 24
Zone Center, 5th
Gamma Ethniki , 13th, Relegated
Serbian SuperLiga, 2nd of 16
Botola, 15th
Handball Premier,  11th
Belgian Fourth Division A, 9th
Liga 1, 16th
Catarinense, 8th
Serie D/E, 18th
Regular Season: 1st, AtlanticPlayoffs: Divisional Finals
Campeonato Tocantinense Second Division 5th of 5
Playoffs: League Final
Overall: 17th
Women's Premier Soccer League, 1st
Thai League 2, 3rd
Russian Premier League, 7th of 16
Meistriliiga, 2nd
WK League, 6th
Under-18s: 14th
Qatar Stars League, 1st
Capital Premier, 8th of 10
Southern League Premier Division, resigned
Group stage, 3rd
Série A, 6th of 20
NAFL Premier Division, 11th
Kazakhstan Premier League, 13th of 14
Second League , 4th
